DOCUMENT_TYPE,FILER_NAME,FILER_CIK,FILING_INTERVAL,FILING_DATE,MENTIONED_FINANCIAL_ENTITY,PP_RSSD_ID,ROLE,THREE_SENTENCES,RATING_EXPERT_10,COMMENT_EXPERT_10,RATING_EXPERT_7,COMMENT_EXPERT_7,RATING_EXPERT_1,COMMENT_EXPERT_1,RATING_EXPERT_1,COMMENT_EXPERT_1
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,Trustee,"4.1
Junior Subordinated Indenture, dated as of March 20, 1997 between Fifth Third Bancorp and Wilmington Trust Company, as Debenture Trustee. Incorporated by
reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 26, 1997.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,Trustee,"4.2
Indenture, dated as of May 23, 2003, between Fifth Third Bancorp and Wilmington Trust Company, as Trustee. Incorporated by reference to Registrant?s Current
Report on Form 8-K filed with the Securities and Exchange Commission on May 22, 2003.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,Trustee,"4.2
Indenture, dated as of May 23, 2003, between Fifth Third Bancorp and Wilmington Trust Company, as Trustee. Incorporated by reference to Registrant?s Current
Report on Form 8-K filed with the Securities and Exchange Commission on May 22, 2003.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,Trustee,"4.4
First Supplemental Indenture, dated as of December 20, 2006, between Fifth Third Bancorp and Wilmington Trust Company, as Trustee. Incorporated by reference to
Registrant?s Annual Report on Form 10-K filed for the fiscal year ended December 31, 2006.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,Trustee,"4.4
First Supplemental Indenture, dated as of December 20, 2006, between Fifth Third Bancorp and Wilmington Trust Company, as Trustee. Incorporated by reference to
Registrant?s Annual Report on Form 10-K filed for the fiscal year ended December 31, 2006.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,trustee,"4.7
First Supplemental Indenture dated as of March 30, 2007 between Fifth Third Bancorp and Wilmington Trust Company, as trustee, to the Junior Subordinated
Indenture dated as of May 20, 1997 between Fifth Third and the Trustee. Incorporated by reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 30, 2007.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,trustee,"4.7
First Supplemental Indenture dated as of March 30, 2007 between Fifth Third Bancorp and Wilmington Trust Company, as trustee, to the Junior Subordinated
Indenture dated as of May 20, 1997 between Fifth Third and the Trustee. Incorporated by reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 30, 2007.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,trustee,"4.7
First Supplemental Indenture dated as of March 30, 2007 between Fifth Third Bancorp and Wilmington Trust Company, as trustee, to the Junior Subordinated
Indenture dated as of May 20, 1997 between Fifth Third and the Trustee. Incorporated by reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 30, 2007.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,trustee,"4.9
Indenture for Senior Debt Securities dated as of April 30, 2008 between Fifth Third Bancorp and Wilmington Trust Company, as trustee. Incorporated by
reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on May 6, 2008.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,trustee,"4.9
Indenture for Senior Debt Securities dated as of April 30, 2008 between Fifth Third Bancorp and Wilmington Trust Company, as trustee. Incorporated by
reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on May 6, 2008.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,Trustee,"4.10
Supplemental Indenture dated as of January 25, 2011 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior Debt
Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on January 25, 2011.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,Trustee,"4.10
Supplemental Indenture dated as of January 25, 2011 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior Debt
Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on January 25, 2011.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Senior Debt,,Trustee,"4.10
Supplemental Indenture dated as of January 25, 2011 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior Debt
Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on January 25, 2011.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,Trustee,"4.10
Supplemental Indenture dated as of January 25, 2011 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior Debt
Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on January 25, 2011.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,Trustee,"4.12
Second Supplemental Indenture dated as of March 7, 2012 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior
Debt Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 7, 2012.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Wilmington Trust Company,,Trustee,"4.12
Second Supplemental Indenture dated as of March 7, 2012 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior
Debt Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 7, 2012.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Senior Debt,,Trustee,"4.12
Second Supplemental Indenture dated as of March 7, 2012 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior
Debt Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 7, 2012.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,Trustee,"4.12
Second Supplemental Indenture dated as of March 7, 2012 between Fifth Third Bancorp and Wilmington Trust Company, as Trustee, to the Indenture for Senior
Debt Securities dated as of April 30, 2008 between Fifth Third and the Trustee. Incorporated by reference to the Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 7, 2012.",,,Neutral,Names trustee,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,issuer,"4.14
Deposit Agreement dated May 16, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC, as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on May 16, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,"Wilmington Trust, National Association",,agent,"4.14
Deposit Agreement dated May 16, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC, as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on May 16, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,"American Stock Transfer & Trust Company, LLC",,agent,"4.14
Deposit Agreement dated May 16, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC, as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on May 16, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,issuer,"4.18
Deposit Agreement dated December 9, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on December 9, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,"Wilmington Trust, National Association",,agent,"4.18
Deposit Agreement dated December 9, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on December 9, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,"American Stock Transfer & Trust Company, LLC",,agent,"4.18
Deposit Agreement dated December 9, 2013, between Fifth Third Bancorp, as issuer, Wilmington Trust, National Association, as depositary and calculation agent,
American Stock Transfer & Trust Company, LLC as transfer agent and registrar, and the holders from time to time of the depositary receipts issued thereunder. Incorporated by reference to Exhibit 4.3 of the Registrant?s Current Report on
Form 8-K filed with the Securities and Exchange Commission on December 9, 2013.",,,Neutral,Names transfer agent,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,David A.,,AFFILIATE,"Retired Vice President for Student Affairs & Chief
Diversity Officer University of Cincinnati
Michael B. McCallister Retired Chairman & CEO
Humana Inc.
Hendrik G. Meijer Co-Chairman, Director
& Co-CEO Meijer, Inc.
John J. Schiff, Jr. Chairman of the Executive
Committee & Director Cincinnati Financial Corporation
Marsha C. Williams Retired Senior Vice President &
Chief Financial Officer Orbitz Worldwide, Inc.
DIRECTORS EMERITI Philip G. Barach
John F. Barrett J. Kenneth Blackwell
Milton C. Boesel, Jr. Douglas G. Cowan
Thomas L. Dahl Ronald A. Dauwe
Gerald V. Dirvin Thomas B. Donnell
Nicholas M. Evans Richard T. Farmer
Louis R. Fiore John D. Geary
Ivan W. Gorr Joseph H. Head, Jr.
Allen M. Hill William J. Keating
Jerry L. Kirby Robert L. Koch II
Kenneth W. Lowe Robert B. Morgan
Michael H. Norris David E. Reese
James E. Rogers George A. Schaefer, Jr.
Donald B. Shackelford David B. Sharrock
Stephen Stranahan Dennis J. Sullivan, Jr.
Dudley S. Taft Alton C. Wendzel
FIFTH THIRD
BANCORP OFFICERS Kevin T. Kabat
Vice Chairman & CEO
Greg D. Carmichael President &
Chief Operating Officer
Steven Alonso Executive Vice President
Frank R. Forrest Executive Vice
President, Chief Risk and Credit Officer
Mark D. Hazel Senior Vice President &
Controller
James R. Hubbard Senior Vice President &
Chief Legal Officer
Gregory L. Kosch Executive Vice President
James C. Leonard
Senior Vice President & Treasurer
Daniel T. Poston Executive Vice President &
Chief Strategy and Administrative Officer
Joseph R. Robinson Executive Vice President &
Chief Information Officer
Robert A. Sullivan Senior Executive Vice President
Teresa J. Tanner
Executive Vice President & Chief Human Resources
Officer Mary E Tuuk
Executive Vice President of Corporate Services and Board
Secretary Tayfun Tuzun
Executive Vice President & Chief Financial
Officer AFFILIATE AND MARKET PRESIDENTS
Donald Abel, Jr. David A. Call
John N. Daniel Karen Dee
David Girodat Shawn Hagan
Thomas Heiks Nancy H. Huber
Julie Hughes Jerry Kelshe....",,,Relevant,Names executives and retired executives,Relevant,,Neutral,I don't know the context for the listing of these names
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Robert W.,,AFFILIATE,"Retired Vice President for Student Affairs & Chief
Diversity Officer University of Cincinnati
Michael B. McCallister Retired Chairman & CEO
Humana Inc.
Hendrik G. Meijer Co-Chairman, Director
& Co-CEO Meijer, Inc.
John J. Schiff, Jr. Chairman of the Executive
Committee & Director Cincinnati Financial Corporation
Marsha C. Williams Retired Senior Vice President &
Chief Financial Officer Orbitz Worldwide, Inc.
DIRECTORS EMERITI Philip G. Barach
John F. Barrett J. Kenneth Blackwell
Milton C. Boesel, Jr. Douglas G. Cowan
Thomas L. Dahl Ronald A. Dauwe
Gerald V. Dirvin Thomas B. Donnell
Nicholas M. Evans Richard T. Farmer
Louis R. Fiore John D. Geary
Ivan W. Gorr Joseph H. Head, Jr.
Allen M. Hill William J. Keating
Jerry L. Kirby Robert L. Koch II
Kenneth W. Lowe Robert B. Morgan
Michael H. Norris David E. Reese
James E. Rogers George A. Schaefer, Jr.
Donald B. Shackelford David B. Sharrock
Stephen Stranahan Dennis J. Sullivan, Jr.
Dudley S. Taft Alton C. Wendzel
FIFTH THIRD
BANCORP OFFICERS Kevin T. Kabat
Vice Chairman & CEO
Greg D. Carmichael President &
Chief Operating Officer
Steven Alonso Executive Vice President
Frank R. Forrest Executive Vice
President, Chief Risk and Credit Officer
Mark D. Hazel Senior Vice President &
Controller
James R. Hubbard Senior Vice President &
Chief Legal Officer
Gregory L. Kosch Executive Vice President
James C. Leonard
Senior Vice President & Treasurer
Daniel T. Poston Executive Vice President &
Chief Strategy and Administrative Officer
Joseph R. Robinson Executive Vice President &
Chief Information Officer
Robert A. Sullivan Senior Executive Vice President
Teresa J. Tanner
Executive Vice President & Chief Human Resources
Officer Mary E Tuuk
Executive Vice President of Corporate Services and Board
Secretary Tayfun Tuzun
Executive Vice President & Chief Financial
Officer AFFILIATE AND MARKET PRESIDENTS
Donald Abel, Jr. David A. Call
John N. Daniel Karen Dee
David Girodat Shawn Hagan
Thomas Heiks Nancy H. Huber
Julie Hughes Jerry Kelshe....",,,Relevant,Names executives and retired executives,,,Relevant,
